origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
16,Hongtsho,1,27.460561,89.64135,105,Changzamtog MSS,27.485941,89.724004,,
17,Jungshina,5,27.460561,89.64135,105,Changzamtog MSS,27.5107091633,89.6341291296,,
18,Kabisa,3,27.460561,89.64135,105,Changzamtog MSS,27.5490698811,89.6542996104,,
19,Kawangjangsa,4,27.460561,89.64135,105,Changzamtog MSS,27.4855720912,89.6302952398,,
20,Khasadrapchu,2,27.460561,89.64135,105,Changzamtog MSS,27.386985,89.584902,,
21,Kungacholing,1,27.460561,89.64135,105,Changzamtog MSS,27.4766506425,89.6197167055,,
22,Langjophakha,4,27.460561,89.64135,105,Changzamtog MSS,27.4958974797,89.6413215052,,
24,Motithang,10,27.460561,89.64135,105,Changzamtog MSS,27.4766506425,89.6197167055,,
25,Namseyling,2,27.460561,89.64135,105,Changzamtog MSS,27.404257,89.6064,,
26,Olakha,57,27.460561,89.64135,105,Changzamtog MSS,27.4469707462,89.6587524835,,
27,Pamtsho,2,27.460561,89.64135,105,Changzamtog MSS,27.5107091633,89.6341291296,,
28,Ramtokto,1,27.460561,89.64135,105,Changzamtog MSS,27.416321,89.622819,,
29,RTC,5,27.460561,89.64135,105,Changzamtog MSS,27.4034984778,89.6566570452,,
30,Samtenling,7,27.460561,89.64135,105,Changzamtog MSS,27.50077888,89.6336932565,,
31,Serbithang,2,27.460561,89.64135,105,Changzamtog MSS,27.4202951523,89.6559116068,,
32,Simtokha,11,27.460561,89.64135,105,Changzamtog MSS,27.4344083978,89.6678739051,,
33,Taba,11,27.460561,89.64135,105,Changzamtog MSS,27.5129062519,89.6451777064,,
34,Tshalubar,1,27.460561,89.64135,105,Changzamtog MSS,27.4377037677,89.6555866401,,
35,Tshalumarphey,3,27.460561,89.64135,105,Changzamtog MSS,27.4377037677,89.6555866401,,
36,Yangchenphug,8,27.460561,89.64135,105,Changzamtog MSS,27.467397,89.6467373768,,
37,Yoselpang,8,27.460561,89.64135,105,Changzamtog MSS,27.462597,89.705355,,
38,Zilukha,3,27.460561,89.64135,105,Changzamtog MSS,27.4855720912,89.6302952398,,
1,Babesa,5,27.526811,89.644576,106,Dechencholing HSS,27.4291816677,89.6472096023,,
2,Begana,7,27.526811,89.644576,106,Dechencholing HSS,27.5718908596,89.6357002125,,
4,Changangkha,1,27.526811,89.644576,106,Dechencholing HSS,27.4724539904,89.6308464685,,
8,Chanjiji,2,27.526811,89.644576,106,Dechencholing HSS,27.4555043578,89.6529220173,,
11,Dechencholing,1085,27.526811,89.644576,106,Dechencholing HSS,27.5326052807,89.6425383727,,
12,Dzong,1,27.526811,89.644576,106,Dechencholing HSS,27.4883002592,89.635544727,,
14,Gidakom,1,27.526811,89.644576,106,Dechencholing HSS,27.404767,89.569741,,
15,Hejo,3,27.526811,89.644576,106,Dechencholing HSS,27.50077888,89.6336932565,,
17,Jungshina,6,27.526811,89.644576,106,Dechencholing HSS,27.5107091633,89.6341291296,,
18,Kabisa,84,27.526811,89.644576,106,Dechencholing HSS,27.5490698811,89.6542996104,,
22,Langjophakha,3,27.526811,89.644576,106,Dechencholing HSS,27.4958974797,89.6413215052,,
24,Motithang,1,27.526811,89.644576,106,Dechencholing HSS,27.4766506425,89.6197167055,,
26,Olakha,1,27.526811,89.644576,106,Dechencholing HSS,27.4469707462,89.6587524835,,
27,Pamtsho,17,27.526811,89.644576,106,Dechencholing HSS,27.5107091633,89.6341291296,,
32,Simtokha,2,27.526811,89.644576,106,Dechencholing HSS,27.4344083978,89.6678739051,,
33,Taba,103,27.526811,89.644576,106,Dechencholing HSS,27.5129062519,89.6451777064,,
38,Zilukha,2,27.526811,89.644576,106,Dechencholing HSS,27.4855720912,89.6302952398,,
1,Babesa,9,27.459145,89.645896,107,Deki PS,27.4291816677,89.6472096023,,
4,Changbangdu,12,27.459145,89.645896,107,Deki PS,27.4513917224,89.6472442834,,
5,Changgidaphu,2,27.459145,89.645896,107,Deki PS,27.4599353896,89.6333761155,,
6,Changjalu,3,27.459145,89.645896,107,Deki PS,27.4469707462,89.6587524835,,
7,Changzamtog,18,27.459145,89.645896,107,Deki PS,27.4611489703,89.641853715,,
9,Core,1,27.459145,89.645896,107,Deki PS,27.4733136477,89.6382533581,,
10,Debsi,1,27.459145,89.645896,107,Deki PS,27.4315666969,89.6403752994,,
24,Motithang,1,27.459145,89.645896,107,Deki PS,27.4766506425,89.6197167055,,
26,Olakha,6,27.459145,89.645896,107,Deki PS,27.4469707462,89.6587524835,,
28,Ramtokto,1,27.459145,89.645896,107,Deki PS,27.416321,89.622819,,
32,Simtokha,2,27.459145,89.645896,107,Deki PS,27.4344083978,89.6678739051,,
33,Taba,1,27.459145,89.645896,107,Deki PS,27.5129062519,89.6451777064,,
38,Zilukha,2,27.459145,89.645896,107,Deki PS,27.4855720912,89.6302952398,,
1,Babesa,209,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4291816677,89.6472096023,,
4,Changangkha,7,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4724539904,89.6308464685,,
4,Changbangdu,3,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4513917224,89.6472442834,,
6,Changjalu,15,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4469707462,89.6587524835,,
7,Changzamtog,4,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4611489703,89.641853715,,
8,Chanjiji,8,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4555043578,89.6529220173,,
9,Core,3,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4733136477,89.6382533581,,
10,Debsi,34,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4315666969,89.6403752994,,
13,Gangchey,6,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4177850318,89.6418826587,,
20,Khasadrapchu,9,27.431219,89.648438,108,Dr. Tobgyel MSS,27.386985,89.584902,,
22,Langjophakha,1,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4958974797,89.6413215052,,
23,Lubding,3,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4497466283,89.6694540333,,
24,Motithang,10,27.431219,89.648438,108,Dr. Tobgyel MSS,27.4766506425,89.6197167055,,
